Trường: Học Viện Hàng không Việt Nam (Mã: HHK)
Các khối thi / tổ hợp xét tuyển:

- X84: Ngữ văn, Công nghệ công nghiệp, Tiếng Nga (18ngành)
- M06: Ngữ Văn, Toán, Năng khiếu Giáo dục mầm non (33ngành)
- T09: Ngữ văn, Lịch sử, năng khiếu thể dục thể thao (18ngành)
- X66: Ngữ văn, Sinh học, GDKT&PL (18ngành)
- X54: Toán, GDKTPL, Công nghệ công nghiệp (33ngành)
- X55: Toán, GDKTPL, Công nghệ nông nghiệp (33ngành)
- X56: Toán, Tin học, Công nghệ công nghiệp (33ngành)
- X57: Toán, Tin học, Công nghệ nông nghiệp (33ngành)
- X19: Toán, Lịch sử, Công nghệ công nghiệp (33ngành)
- X20: Toán, Lịch sử, Công nghệ nông nghiệp (33ngành)
- X18: Toán, Lịch sử, Tin học (33ngành)
- X99: Ngữ văn, Tin học, Tiếng Nhật (18ngành)
- X76: Ngữ văn, Địa lí, Công nghệ công nghiệp (18ngành)
- Y08: Ngữ văn, GDKTPL, Công nghệ công nghiệp (18ngành)
- X77: Ngữ văn, Địa lí, Công nghệ nông nghiệp (18ngành)
- Y09: Ngữ văn, GDKTPL, Công nghệ nông nghiệp (18ngành)
- Y07: Ngữ văn, GDKTPL, Tin học (18ngành)
- X64: Ngữ văn, Hóa học, Công nghệ công nghiệp (18ngành)
- X65: Ngữ văn, Hóa học, Công nghệ nông nghiệp (18ngành)
- X63: Ngữ văn, Hóa học, Tin học (18ngành)
- X72: Ngữ văn, Lịch sử, Công nghệ công nghiệp (18ngành)
- X73: Ngữ văn, Lịch sử, Công nghệ nông nghiệp (18ngành)
- X68: Ngữ văn, Sinh học, Công nghệ công nghiệp (18ngành)
- X69: Ngữ văn, Sinh học, Công nghệ nông nghiệp (18ngành)
- X67: Ngữ văn, Sinh học, Tin học (18ngành)
- X81: Ngữ văn, Tiếng Anh, Công nghệ nông nghiệp (21ngành)
- X80: Ngữ văn, Tiếng Anh, Công nghệ công nghiệp (21ngành)
- Y10: Ngữ văn, Tin học, Công nghệ công nghiệp (18ngành)
- Y11: Ngữ văn, Tin học, Công nghệ nông nghiệp (18ngành)
- X60: Ngữ văn, Vật lí, Công nghệ công nghiệp (18ngành)
- DH1: Ngữ văn, Địa lí, Tiếng Hàn (19ngành)
- X61: Ngữ văn, Vật lí, Công nghệ nông nghiệp (18ngành)
- X59: Ngữ văn, Vật lí, Tin học (18ngành)
- DH5: Ngữ văn, Lịch sử, Tiếng Hàn (18ngành)
- AH4: Toán, Sinh học, Tiếng Hàn (34ngành)
